"","",""
"Abronia","sand verbena","SD(Custer, Fall River)"
"Amorpha","false indigo","SD(Aurora, Beadle, Bennett, Bon Homme, Brookings, Brown, Brule, Buffalo, Campbell, Charles Mix, Clay, Codington, Corson, Custer, Day, Dewey, Fall River, Faulk, Grant, Gregory, Haakon, Hamlin, Hanson, Hughes, Hutchinson, Hyde, Jones, Lawrence, Lincoln, Lyman, Marshall, McPherson, Meade, Mellette, Minnehaha, Pennington, Perkins, Roberts, Sanborn, Stanley, Sully, Todd, Tripp, Turner, Union, Walworth, Yankton, Ziebach)"
"Amorpha canescens","leadplant","SD(Aurora, Beadle, Bon Homme, Brookings, Brown, Brule, Buffalo, Campbell, Charles Mix, Clay, Codington, Corson, Custer, Day, Dewey, Fall River, Faulk, Gregory, Haakon, Hanson, Hughes, Hutchinson, Lawrence, Lincoln, Lyman, Marshall, McPherson, Mellette, Minnehaha, Pennington, Perkins, Roberts, Sanborn, Stanley, Sully, Todd, Tripp, Turner, Union, Walworth, Yankton, Ziebach)"
"Amorpha fruticosa","false indigo bush","SD(Bennett, Brookings, Buffalo, Charles Mix, Clay, Codington, Corson, Custer, Fall River, Grant, Hamlin, Hyde, Lyman, Marshall, Meade, Pennington, Perkins, Roberts, Todd, Tripp, Turner, Union)"
"Amorpha nana","dwarf false indigo","SD(Brule, Charles Mix, Clay, Corson, Dewey, Gregory, Haakon, Jones, Lyman, Marshall, Mellette, Pennington, Roberts, Stanley, Ziebach)"
"Amphicarpaea","hogpeanut","SD(Clay, Codington, Custer, Marshall, Pennington, Todd, Union)"
"Amphicarpaea bracteata","American hogpeanut","SD(Clay, Codington, Custer, Marshall, Pennington, Todd, Union)"
"Amphicarpaea bracteata var. bracteata","American hogpeanut","SD(Clay, Codington, Custer, Marshall, Pennington, Todd, Union)"
"Anagallis","pimpernel","SD(Custer)"
"Anagallis arvensis","scarlet pimpernel","SD(Custer)"
"Anagallis arvensis ssp. arvensis","scarlet pimpernel","SD(Custer)"
"Anaphalis","pearly everlasting","SD(Custer, Lawrence, Pennington)"
"Anaphalis margaritacea","western pearly everlasting","SD(Custer, Lawrence, Pennington)"
"Andropogon","bluestem","SD(Bennett, Bon Homme, Brookings, Brown, Brule, Butte, Clark, Clay, Codington, Corson, Custer, Davison, Day, Dewey, Douglas, Edmunds, Fall River, Faulk, Gregory, Haakon, Hand, Harding, Hughes, Hyde, Jackson, Jerauld, Jones, Kingsbury, Lawrence, Lincoln, Marshall, McPherson, Mellette, Minnehaha, Pennington, Roberts, Sanborn, Spink, Stanley, Todd, Union, Ziebach)"
"Andropogon gerardii","big bluestem","SD(Bennett, Bon Homme, Brookings, Brown, Brule, Butte, Clark, Clay, Codington, Corson, Custer, Davison, Day, Dewey, Douglas, Edmunds, Fall River, Faulk, Gregory, Haakon, Hand, Harding, Hughes, Hyde, Jackson, Jerauld, Jones, Kingsbury, Lawrence, Lincoln, Marshall, McPherson, Mellette, Minnehaha, Pennington, Roberts, Sanborn, Spink, Stanley, Todd, Union, Ziebach)"
"Andropogon hallii","sand bluestem","SD(Bennett, Dewey, Fall River, Harding, Pennington, Todd)"
"Androsace","rockjasmine","SD(Aurora, Brookings, Butte, Charles Mix, Clay, Codington, Custer, Davison, Day, Douglas, Harding, Hutchinson, Jackson, Lake, Lawrence, Meade, Minnehaha, Pennington, Spink, Todd, Union)"
"Androsace occidentalis","western rockjasmine","SD(Aurora, Brookings, Butte, Charles Mix, Clay, Codington, Custer, Davison, Day, Douglas, Harding, Hutchinson, Jackson, Lake, Lawrence, Meade, Minnehaha, Pennington, Spink, Todd, Union)"
