"","",""
"Amphicarpaea","hogpeanut","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Amphicarpaea bracteata","American hogpeanut","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Amphicarpum","maidencane","MA(Nantucket)"
"Amphicarpum purshii","blue maidencane","MA(Nantucket)"
"Amsinckia","fiddleneck","MA(Franklin, Hampden, Middlesex, Nantucket, Norfolk, Worcester)"
"Amsinckia eastwoodiae","Eastwood's fiddleneck","MA(Franklin)"
"Amsinckia lycopsoides","tarweed fiddleneck","MA(Hampden, Middlesex, Nantucket, Worcester)"
"Amsinckia menziesii","Menzies' fiddleneck","MA(Middlesex, Nantucket, Norfolk)"
"Amsinckia menziesii var. intermedia","common fiddleneck","MA(Norfolk)"
"Amsinckia menziesii var. menziesii","Menzies' fiddleneck","MA(Middlesex, Nantucket)"
"Amsonia","bluestar","MA(Hampden, Suffolk, Worcester)"
"Amsonia tabernaemontana","eastern bluestar","MA(Hampden, Suffolk, Worcester)"
"Amsonia tabernaemontana var. tabernaemontana","eastern bluestar","MA(Hampden, Suffolk, Worcester)"
