"Asperula arvensis","blue woodruff","DC(District of Columbia)"
"Asplenium","spleenwort","DC(District of Columbia)"
"Asplenium platyneuron","ebony spleenwort","DC(District of Columbia)"
"Asplenium platyneuron var. platyneuron","ebony spleenwort","DC(District of Columbia)"
"Asplenium rhizophyllum","walking fern","DC(District of Columbia)"
"Asplenium trichomanes","maidenhair spleenwort","DC(District of Columbia)"
"Asplenium trichomanes ssp. trichomanes","maidenhair spleenwort","DC(District of Columbia)"
"Astragalus","milkvetch","DC(District of Columbia)"
"Astragalus canadensis","Canadian milkvetch","DC(District of Columbia)"
"Astragalus canadensis var. canadensis","Canadian milkvetch","DC(District of Columbia)"
"Athyrium","ladyfern","DC(District of Columbia)"
"Athyrium filix-femina","common ladyfern","DC(District of Columbia)"
"Athyrium filix-femina ssp. angustum","subarctic ladyfern","DC(District of Columbia)"
"Athyrium filix-femina ssp. asplenioides","asplenium ladyfern","DC(District of Columbia)"
"Atriplex","saltbush","DC(District of Columbia)"
"Atriplex patula","spear saltbush","DC(District of Columbia)"
"Atriplex prostrata","triangle orache","DC(District of Columbia)"
"Aureolaria","false foxglove","DC(District of Columbia)"
"Aureolaria pedicularia","fernleaf yellow false foxglove","DC(District of Columbia)"
"Aureolaria pedicularia var. pedicularia","fernleaf yellow false foxglove","DC(District of Columbia)"
"Aureolaria virginica","downy yellow false foxglove","DC(District of Columbia)"
"Avena","oat","DC(District of Columbia)"
"Avena sativa","common oat","DC(District of Columbia)"
"Azolla","mosquitofern","DC(District of Columbia)"
"Azolla caroliniana","Carolina mosquitofern","DC(District of Columbia)"
"Baccharis","baccharis","DC(District of Columbia)"
"Baccharis halimifolia","eastern baccharis","DC(District of Columbia)"
"Baptisia","wild indigo","DC(District of Columbia)"
"Baptisia australis","blue wild indigo","DC(District of Columbia)"
"Baptisia australis var. australis","blue wild indigo","DC(District of Columbia)"
"Baptisia tinctoria","horseflyweed","DC(District of Columbia)"
"Barbarea","yellowrocket","DC(District of Columbia)"
"Barbarea verna","early yellowrocket","DC(District of Columbia)"
"Barbarea vulgaris","garden yellowrocket","DC(District of Columbia)"
"Bartonia","screwstem","DC(District of Columbia)"
"Bartonia paniculata","twining screwstem","DC(District of Columbia)"
"Bartonia paniculata ssp. paniculata","twining screwstem","DC(District of Columbia)"
"Bartonia virginica","yellow screwstem","DC(District of Columbia)"
"Belamcanda","belamcanda","DC(District of Columbia)"
"Belamcanda chinensis","blackberry lily","DC(District of Columbia)"
"Bellis","bellis","DC(District of Columbia)"
"Bellis perennis","lawndaisy","DC(District of Columbia)"
"Berberis","barberry","DC(District of Columbia)"
"Berberis thunbergii","Japanese barberry","DC(District of Columbia)"
"Betula","birch","DC(District of Columbia)"
"Betula nigra","river birch","DC(District of Columbia)"
"Bidens","beggarticks","DC(District of Columbia)"
"Bidens aristosa","bearded beggarticks","DC(District of Columbia)"
"Bidens bipinnata","Spanish needles","DC(District of Columbia)"
