"","","",""
"Aronia arbutifolia","red chokeberry","NH(Rockingham)",""
"Aronia melanocarpa","black chokeberry","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Arrhenatherum","oatgrass","NH(Cheshire, Grafton, Hillsborough, Rockingham, Strafford)",""
"Arrhenatherum elatius","tall oatgrass","NH(Cheshire, Grafton, Hillsborough, Rockingham, Strafford)",""
"Arrhenatherum elatius var. elatius","tall oatgrass","NH(Cheshire, Grafton, Hillsborough, Rockingham, Strafford)",""
"Artemisia","sagebrush","NH(Belknap, Carroll, Cheshire, Coos, Merrimack, Rockingham, Strafford)",""
"Artemisia absinthium","absinthium","NH(Belknap, Carroll, Coos, Strafford)",""
"Artemisia annua","sweet sagewort","NH(Coos)",""
"Artemisia biennis","biennial wormwood","NH(Coos)",""
"Artemisia biennis var. biennis","biennial wormwood","NH(Coos)",""
"Artemisia campestris","field sagewort","NH(Coos, Rockingham)",""
"Artemisia campestris ssp. caudata","field sagewort","NH(Coos, Rockingham)",""
"Artemisia ludoviciana","white sagebrush","NH(Coos)",""
"Artemisia ludoviciana ssp. ludoviciana","white sagebrush","NH(Coos)",""
"Artemisia pontica","Roman wormwood","NH(Cheshire, Merrimack)",""
"Artemisia stelleriana","oldwoman","NH(Rockingham)",""
"Asarum","wildginger","NH(Carroll, Cheshire, Coos, Grafton, Hillsborough, Rockingham, Sullivan)",""
"Asarum canadense","Canadian wildginger","NH(Carroll, Cheshire, Coos, Grafton, Hillsborough, Rockingham, Sullivan)",""
"Asclepias","milkweed","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Asclepias amplexicaulis","clasping milkweed","NH(Carroll, Cheshire, Hillsborough, Merrimack, Rockingham)",""
"Asclepias exaltata","poke milkweed","NH(Belknap, Carroll, Cheshire, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Asclepias incarnata","swamp milkweed","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Asclepias purpurascens","purple milkweed","NH(Hillsborough, Rockingham)",""
"Asclepias quadrifolia","fourleaf milkweed","NH(Cheshire, Rockingham, Sullivan)",""
"Asclepias tuberosa","butterfly milkweed","NH(Carroll, Cheshire, Hillsborough)",""
"Asclepias tuberosa ssp. tuberosa","butterfly milkweed","NH(Carroll, Cheshire, Hillsborough)",""
