"","",""
"Abies","fir","GA(Fannin)"
"Thalictrum","meadow-rue","GA(Appling, Bartow, Bibb, Burke, Butts, Carroll, Catoosa, Cherokee, Clarke, Clay, Cobb, Dade, Dawson, Douglas, Elbert, Fannin, Floyd, Forsyth, Fulton, Gilmer, Gordon, Habersham, Hall, Haralson, Harris, Hart, Jackson, Lee, Lumpkin, Morgan, Murray, Muscogee, Oglethorpe, Paulding, Pike, Rabun, Stephens, Towns, Troup, Union, Upson, Walker, Washington, White, Whitfield, Wilkes, Worth)"
"Thalictrum clavatum","mountain meadow-rue","GA(Dade, Fannin, Gilmer, Habersham, Lumpkin, Rabun, Towns, Union, White)"
"Thalictrum debile","southern meadow-rue","GA(Floyd, Gordon)"
"Thalictrum dioicum","early meadow-rue","GA(Burke, Catoosa, Elbert, Floyd, Fulton, Gilmer, Hall, Morgan, Oglethorpe, Rabun, Walker, White, Whitfield)"
"Thalictrum macrostylum","piedmont meadow-rue","GA(Clarke, Douglas, Pike, Union, Worth)"
"Thalictrum pubescens","king of the meadow","GA(Cherokee, Fannin, Oglethorpe, Rabun, Towns, Walker)"
"Thalictrum revolutum","waxyleaf meadow-rue","GA(Appling, Catoosa, Clarke, Dade, Dawson, Floyd, Lee, Union, Upson, Washington)"
"Thalictrum thalictroides","rue anemone","GA(Bartow, Bibb, Butts, Carroll, Catoosa, Cherokee, Clarke, Clay, Cobb, Douglas, Elbert, Floyd, Forsyth, Fulton, Hall, Haralson, Harris, Hart, Jackson, Murray, Muscogee, Oglethorpe, Paulding, Rabun, Stephens, Troup, Union, Walker, Whitfield, Wilkes)"
"Thaspium","meadowparsnip","GA(Bartow, Ben Hill, Bibb, Burke, Chattooga, Clarke, Cobb, Columbia, Dade, Decatur, Early, Elbert, Fannin, Floyd, Gilmer, Glascock, Hart, Jackson, Lincoln, Lumpkin, Madison, Morgan, Murray, Rabun, Towns, Union, Walker, White)"
"Thaspium barbinode","hairyjoint meadowparsnip","GA(Bartow, Bibb, Burke, Chattooga, Cobb, Dade, Decatur, Elbert, Floyd, Gilmer, Hart, Lincoln, Lumpkin, Murray, Rabun, Towns, Union, Walker)"
"Thaspium trifoliatum","purple meadowparsnip","GA(Bartow, Ben Hill, Clarke, Columbia, Dade, Early, Elbert, Fannin, Floyd, Glascock, Jackson, Madison, Morgan, Murray, Walker, White)"
"Thelypteris","maiden fern","GA(Appling, Barrow, Ben Hill, Berrien, Brantley, Brooks, Bulloch, Calhoun, Camden, Candler, Carroll, Charlton, Chatham, Chattooga, Cherokee, Clarke, Clay, Clayton, Cobb, Coffee, Colquitt, Coweta, Dade, Dawson, DeKalb, Decatur, Dooly, Dougherty, Douglas, Early, Echols, Fannin, Fayette, Floyd, Forsyth, Franklin, Fulton, Gilmer, Glynn, Gordon, Grady, Gwinnett, Hall, Haralson, Harris, Hart, Heard, Houston, Irwin, Jackson, Jenkins, Lamar, Lanier, Lee, Liberty, Long, Lowndes, Lumpkin, Macon, Madison, McIntosh, Meriwether, Mitchell, Murray, Oglethorpe, Paulding, Pierce, Pike, Polk, Pulaski, Putnam, Quitman, Rabun, Randolph, Richmond, Rockdale, Stephens, Sumter, Tattnall, Terrell, Thomas, Tift, Toombs, Towns, Turner, Union, Upson, Walker, Ware, Washington, Wayne, White, Worth)"
"Thelypteris dentata","downy maiden fern","GA(Berrien, Calhoun, Candler, Echols, Glynn, Grady, Harris, Houston, Long, Lowndes, Pierce, Richmond, Thomas, Ware, Wayne)"
"Thelypteris hispidula","roughhairy maiden fern","GA(Brooks, Charlton, Decatur, Early, Echols, Grady, Lowndes, Terrell, Thomas, Turner)"
"Thelypteris hispidula var. versicolor","roughhairy maiden fern","GA(Brooks, Charlton, Decatur, Early, Echols, Grady, Lowndes, Terrell, Thomas, Turner)"
"Thelypteris kunthii","Kunth's maiden fern","GA(Appling, Ben Hill, Berrien, Brantley, Brooks, Bulloch, Camden, Candler, Chatham, Cherokee, Coffee, Colquitt, Decatur, Dooly, Dougherty, Early, Echols, Glynn, Grady, Houston, Irwin, Lanier, Lee, Liberty, Lowndes, Macon, McIntosh, Mitchell, Pulaski, Putnam, Quitman, Randolph, Tattnall, Terrell, Thomas, Tift, Toombs, Turner, Ware, Washington, Worth)"
"Thelypteris noveboracensis","New York fern","GA(Barrow, Carroll, Charlton, Chatham, Chattooga, Cherokee, Clarke, Clayton, Cobb, Coweta, Dade, Dawson, DeKalb, Decatur, Douglas, Echols, Fannin, Fayette, Floyd, Forsyth, Franklin, Fulton, Gilmer, Glynn, Gordon, Gwinnett, Hall, Haralson, Harris, Hart, Heard, Houston, Jackson, Jenkins, Lamar, Lee, Liberty, Lowndes, Lumpkin, Madison, McIntosh, Meriwether, Mitchell, Murray, Oglethorpe, Paulding, Pike, Polk, Rabun, Rockdale, Stephens, Terrell, Towns, Union, Upson, Walker, White)"
"Thelypteris ovata","ovate marsh fern","GA(Clay, Dougherty, Echols, Pulaski, Sumter)"
"Thelypteris ovata var. ovata","ovate marsh fern","GA(Clay, Dougherty, Echols, Pulaski, Sumter)"
"Thermopsis","goldenbanner","GA(Dade, Dawson, Elbert, Fannin, Gilmer, Habersham, Hall, Lumpkin, Murray, Towns, Union, White, Whitfield)"
"Thermopsis mollis","Allegheny Mountain goldenbanner","GA(Dade, Elbert, Fannin, Gilmer, Hall, Lumpkin, Murray, Union, White, Whitfield)"
"Thermopsis villosa","Aaron's rod","GA(Dawson, Fannin, Habersham, Towns, Union)"
"Thinopyrum","wheatgrass","GA(Clarke)"
"Thinopyrum intermedium","intermediate wheatgrass","GA(Clarke)"
"Thlaspi","pennycress","GA(Bartow, Dawson, Floyd, Gwinnett, Morgan, Murray)"
"Thlaspi alliaceum","roadside pennycress","GA(Murray)"
"Thlaspi arvense","field pennycress","GA(Bartow, Dawson, Floyd, Gwinnett, Morgan)"
"Thymus","thyme","GA(Chattooga)"
"Thymus praecox","mother of thyme","GA(Chattooga)"
"Thymus praecox ssp. arcticus","creeping thyme","GA(Chattooga)"
"Tiarella","foamflower","GA(Bartow, Carroll, Clay, Cobb, Elbert, Floyd, Forsyth, Fulton, Gilmer, Hall, Haralson, Jackson, Murray, Pickens, Polk, Rabun, Stephens, Towns, Union, Walker, White, Whitfield)"
"Tiarella cordifolia","heartleaf foamflower","GA(Bartow, Carroll, Clay, Cobb, Elbert, Floyd, Forsyth, Fulton, Gilmer, Hall, Haralson, Jackson, Murray, Pickens, Polk, Rabun, Stephens, Towns, Union, Walker, White, Whitfield)"
"Tilia","basswood","GA(Baker, Bartow, Ben Hill, Carroll, Chatham, Cherokee, Clarke, Crisp, DeKalb, Dooly, Echols, Elbert, Fannin, Floyd, Franklin, Fulton, Gilmer, Gwinnett, Habersham, Hall, Harris, Jackson, Lee, Liberty, Morgan, Murray, Oconee, Oglethorpe, Rabun, Spalding, Stephens, Talbot, Towns, Union, Walker, Wilcox, Worth)"
"Tilia americana","American basswood","GA(Baker, Bartow, Ben Hill, Carroll, Chatham, Cherokee, Clarke, Crisp, DeKalb, Dooly, Echols, Elbert, Fannin, Floyd, Franklin, Fulton, Gilmer, Gwinnett, Habersham, Hall, Harris, Jackson, Lee, Liberty, Morgan, Murray, Oconee, Oglethorpe, Rabun, Spalding, Stephens, Talbot, Towns, Union, Walker, Wilcox, Worth)"
"Tillandsia","airplant","GA(Berrien, Brantley, Burke, Camden, Charlton, Chatham, Clinch, Columbia, Early, Echols, Emanuel, Glynn, Harris, Houston, Liberty, Long, Lowndes, McIntosh, Meriwether, Oglethorpe, Randolph, Richmond, Taylor, Twiggs, Upson, Ware, Washington, Wayne, Worth)"
"Tillandsia bartramii","Bartram's airplant","GA(Camden, Charlton, Glynn)"
"Tillandsia recurvata","small ballmoss","GA(Camden, Glynn, Lowndes)"
"Tillandsia setacea","southern needleleaf","GA(Camden, Charlton, Clinch, Glynn)"
"Tillandsia usneoides","Spanish moss","GA(Berrien, Brantley, Burke, Camden, Charlton, Chatham, Columbia, Early, Echols, Emanuel, Glynn, Harris, Houston, Liberty, Long, Lowndes, McIntosh, Meriwether, Oglethorpe, Randolph, Richmond, Taylor, Twiggs, Upson, Ware, Washington, Wayne, Worth)"
"Tipularia","tipularia","GA(Bartow, Bibb, Burke, Carroll, Cherokee, Clarke, Clay, Cobb, Elbert, Habersham, Hall, Harris, Hart, Jackson, Lowndes, Madison, Morgan, Murray, Oglethorpe, Rabun, Randolph, Richmond, Stephens, Union, Upson, Washington, Whitfield, Wilkes, Worth)"
"Tipularia discolor","crippled cranefly","GA(Bartow, Bibb, Burke, Carroll, Cherokee, Clarke, Clay, Cobb, Elbert, Habersham, Hall, Harris, Hart, Jackson, Lowndes, Madison, Morgan, Murray, Oglethorpe, Rabun, Randolph, Richmond, Stephens, Union, Upson, Washington, Whitfield, Wilkes, Worth)"
"Torilis","hedgeparsley","GA(Chattooga, Clarke, Pulaski, Walker, Whitfield)"
"Torilis arvensis","spreading hedgeparsley","GA(Chattooga, Clarke, Pulaski, Walker, Whitfield)"
"Torilis arvensis ssp. arvensis","spreading hedgeparsley","GA(Chattooga, Clarke, Pulaski, Walker, Whitfield)"
"Torreya","torreya","GA(Decatur)"
"Torreya taxifolia","Florida nutmeg","GA(Decatur)"
"Torreyochloa","false mannagrass","GA(Bartow, Walker)"
"Torreyochloa pallida","pale false mannagrass","GA(Bartow, Walker)"
"Torreyochloa pallida var. pallida","pale false mannagrass","GA(Bartow, Walker)"
"Toxicodendron","poison oak","GA(Banks, Bartow, Ben Hill, Bibb, Bulloch, Camden, Carroll, Catoosa, Charlton, Chatham, Clarke, Coffee, Colquitt, Columbia, Cook, Coweta, Crisp, Dade, Dawson, Dougherty, Echols, Elbert, Fannin, Floyd, Forsyth, Gilmer, Glascock, Grady, Gwinnett, Habersham, Hall, Haralson, Harris, Houston, Jackson, Johnson, Jones, Lanier, Laurens, Liberty, Long, Lowndes, Lumpkin, McDuffie, McIntosh, Meriwether, Morgan, Muscogee, Peach, Pierce, Stephens, Stewart, Tattnall, Terrell, Tift, Treutlen, Turner, Union, Walker, Walton, Ware, Wayne, White, Wilcox, Worth)"
"Toxicodendron pubescens","Atlantic poison oak","GA(Banks, Bartow, Ben Hill, Bibb, Bulloch, Catoosa, Colquitt, Columbia, Coweta, Crisp, Dade, Dawson, Echols, Elbert, Floyd, Glascock, Hall, Harris, Jones, Laurens, Long, Lowndes, Meriwether, Peach, Pierce, Stephens, Tattnall, Turner, Worth)"
"Toxicodendron radicans","eastern poison ivy","GA(Banks, Bartow, Bulloch, Camden, Carroll, Catoosa, Charlton, Chatham, Clarke, Coffee, Crisp, Dade, Dawson, Dougherty, Echols, Elbert, Fannin, Forsyth, Gilmer, Grady, Habersham, Hall, Haralson, Houston, Johnson, Jones, Liberty, Long, Lowndes, Lumpkin, McDuffie, McIntosh, Morgan, Muscogee, Peach, Stephens, Stewart, Tattnall, Treutlen, Union, Walker, Walton, Ware, White, Wilcox, Worth)"
"Toxicodendron radicans ssp. radicans","eastern poison ivy","GA(Banks, Bartow, Bulloch, Camden, Carroll, Catoosa, Charlton, Chatham, Clarke, Coffee, Crisp, Dade, Dawson, Dougherty, Echols, Elbert, Fannin, Forsyth, Gilmer, Grady, Habersham, Hall, Haralson, Houston, Johnson, Jones, Liberty, Long, Lowndes, Lumpkin, McDuffie, McIntosh, Morgan, Muscogee, Peach, Stephens, Stewart, Tattnall, Treutlen, Union, Walker, Walton, Ware, White, Wilcox, Worth)"
"Toxicodendron vernix","poison sumac","GA(Ben Hill, Bulloch, Charlton, Clarke, Cook, Grady, Gwinnett, Habersham, Hall, Harris, Jackson, Lanier, Lowndes, Terrell, Tift, Union, Wayne, Worth)"
"Trachelospermum","trachelospermum","GA(Ben Hill, Brooks, Clarke, Clay, Crisp, Dougherty, Echols, Elbert, Emanuel, Johnson, Lamar, Oglethorpe, Pike, Screven, Thomas, Upson)"
"Trachelospermum difforme","climbing dogbane","GA(Ben Hill, Brooks, Clarke, Clay, Crisp, Dougherty, Echols, Elbert, Emanuel, Johnson, Lamar, Oglethorpe, Pike, Screven, Thomas, Upson)"
"Tradescantia","spiderwort","GA(Bartow, Ben Hill, Berrien, Bibb, Bulloch, Butts, Camden, Candler, Carroll, Chatham, Chattooga, Cherokee, Clarke, Cobb, Coffee, Columbia, Coweta, DeKalb, Elbert, Fayette, Floyd, Forsyth, Fulton, Glynn, Grady, Greene, Gwinnett, Hancock, Harris, Heard, Jasper, Lamar, Lanier, Lowndes, Madison, McIntosh, Meriwether, Morgan, Murray, Muscogee, Oglethorpe, Pike, Rockdale, Thomas, Tift, Troup, Turner, Upson, Walker, Walton, Warren, White, Whitfield, Wilkes)"
"Tradescantia fluminensis","small-leaf spiderwort","GA(Camden, Lowndes)"
"Tradescantia hirsuticaulis","hairystem spiderwort","GA(Butts, Carroll, Cherokee, Clarke, Coffee, Columbia, Coweta, DeKalb, Elbert, Fayette, Forsyth, Greene, Gwinnett, Harris, Heard, Lamar, Meriwether, Muscogee, Oglethorpe, Pike, Rockdale, Troup, Walton, Warren, Wilkes)"
"Tradescantia hirsutiflora","hairyflower spiderwort","GA(Berrien, Lowndes, Turner)"
"Tradescantia ohiensis","bluejacket","GA(Bartow, Ben Hill, Bibb, Bulloch, Camden, Carroll, Chatham, Cobb, DeKalb, Fulton, Glynn, Grady, Hancock, Harris, Heard, Jasper, Lanier, McIntosh, Thomas, Tift, Troup, Upson)"
"Tradescantia roseolens","longleaf spiderwort","GA(Bulloch, Candler)"
"Tradescantia subaspera","zigzag spiderwort","GA(Bartow, Chattooga, Elbert, Forsyth, Harris, Madison, Morgan, Murray, Walker, White)"
"Tradescantia subaspera var. montana","zigzag spiderwort","GA(Bartow, Chattooga, Elbert, Forsyth, Harris, Madison, Morgan, Murray, Walker, White)"
"Tradescantia virginiana","Virginia spiderwort","GA(Bartow, Clarke, Floyd, Walker, Whitfield)"
"Tragia","noseburn","GA(Baker, Ben Hill, Chatham, Clarke, Cobb, Colquitt, DeKalb, Decatur, Dooly, Elbert, Forsyth, Fulton, Hall, Harris, Jones, Lee, Lowndes, McDuffie, McIntosh, Miller, Morgan, Putnam, Randolph, Screven, Spalding, Telfair, Tift, Wayne)"
"Tragia cordata","heartleaf noseburn","GA(Lee)"
"Tragia smallii","Small's noseburn","GA(Colquitt, Decatur, Miller)"
"Tragia urens","wavyleaf noseburn","GA(Ben Hill, Chatham, Colquitt, Decatur, Dooly, Elbert, Hall, Lowndes, McDuffie, McIntosh, Randolph, Screven, Telfair, Wayne)"
"Tragia urticifolia","nettleleaf noseburn","GA(Baker, Clarke, Cobb, DeKalb, Elbert, Forsyth, Fulton, Harris, Jones, McDuffie, Morgan, Putnam, Spalding, Tift)"
"Tragopogon","goatsbeard","GA(Clarke)"
"Tragopogon porrifolius","salsify","GA(Clarke)"
"Trautvetteria","bugbane","GA(Dawson, DeKalb, Early, Fannin, Fulton, Gilmer, Murray, Pike, Rabun, Rockdale, Stephens, Towns, Union, Upson)"
"Trautvetteria caroliniensis","Carolina bugbane","GA(Dawson, DeKalb, Early, Fannin, Fulton, Gilmer, Murray, Pike, Rabun, Rockdale, Stephens, Towns, Union, Upson)"
"Trautvetteria caroliniensis var. caroliniensis","Carolina bugbane","GA(Dawson, DeKalb, Early, Fannin, Fulton, Gilmer, Murray, Pike, Rabun, Rockdale, Stephens, Towns, Union, Upson)"
"Triadenum","marsh St. Johnswort","GA(Barrow, Bartow, Ben Hill, Bulloch, Camden, Charlton, Cook, Crisp, Decatur, Early, Echols, Grady, Harris, Houston, Lanier, Liberty, Long, Lowndes, McIntosh, Morgan, Screven, Tattnall, Taylor, Telfair, Toombs, Walker, Ware, Wilcox)"
"Triadenum virginicum","Virginia marsh St. Johnswort","GA(Bartow, Camden, Charlton, Cook, Early, Echols, Grady, Lanier, Liberty, Long, Lowndes, McIntosh, Screven, Taylor, Telfair, Toombs, Ware, Wilcox)"
"Triadenum walteri","greater marsh St. Johnswort","GA(Barrow, Bartow, Ben Hill, Bulloch, Crisp, Decatur, Harris, Houston, Long, Morgan, Tattnall, Walker)"
"Triadica","Chinese tallow","GA(Baldwin, Brooks, Chatham, Ware)"
"Triadica sebifera","Chinese tallow","GA(Baldwin, Brooks, Chatham, Ware)"
"Triantha","false asphodel","GA(Berrien, Brooks, Bryan, Bulloch, Calhoun, Candler, Chatham, Clinch, Colquitt, Cook, Decatur, Dodge, Dooly, Douglas, Early, Emanuel, Grady, Irwin, Jenkins, McIntosh, Rabun, Thomas, Tift, Toombs, Ware, Wayne, Wilcox, Worth)"
"Triantha glutinosa","sticky tofieldia","GA(Rabun)"
"Triantha racemosa","coastal false asphodel","GA(Berrien, Brooks, Bryan, Bulloch, Calhoun, Candler, Chatham, Clinch, Colquitt, Cook, Decatur, Dodge, Dooly, Douglas, Early, Emanuel, Grady, Irwin, Jenkins, McIntosh, Thomas, Tift, Toombs, Ware, Wayne, Wilcox, Worth)"
"Trichomanes","bristle fern","GA(Chattooga, Coffee, Dade, Rabun, Stephens, Walker)"
"Trichomanes boschianum","Appalachian bristle fern","GA(Rabun)"
"Trichomanes petersii","dwarf bristle fern","GA(Chattooga, Coffee, Dade, Rabun, Stephens, Walker)"
"Trichophorum","bulrush","GA(Rabun)"
"Trichophorum cespitosum","tufted bulrush","GA(Rabun)"
"Trichostema","bluecurls","GA(Baker, Bartow, Ben Hill, Bibb, Brooks, Camden, Catoosa, Chatham, Cherokee, Clarke, Cobb, Cook, Dawson, Decatur, Dougherty, Echols, Elbert, Floyd, Grady, Hall, Harris, Irwin, Jackson, Liberty, Lowndes, McIntosh, Meriwether, Morgan, Murray, Newton, Oglethorpe, Rabun, Rockdale, Spalding, Sumter, Taylor, Terrell, Thomas, Union, Walker, Walton)"
"Trichostema brachiatum","fluxweed","GA(Catoosa, Floyd)"
"Trichostema dichotomum","forked bluecurls","GA(Baker, Bartow, Bibb, Brooks, Camden, Chatham, Cherokee, Clarke, Cobb, Cook, Dawson, Decatur, Echols, Grady, Hall, Harris, Irwin, Jackson, Liberty, Lowndes, McIntosh, Morgan, Murray, Rabun, Sumter, Taylor, Terrell, Thomas, Union, Walker)"
"Trichostema setaceum","narrowleaf bluecurls","GA(Ben Hill, Dougherty, Elbert, Hall, McIntosh, Meriwether, Newton, Oglethorpe, Rockdale, Spalding, Walton)"
"Tridens","tridens","GA(Baker, Bartow, Bibb, Catoosa, Cherokee, Clarke, Clinch, Cobb, Dougherty, Elbert, Floyd, Fulton, Habersham, Jackson, Jasper, Jones, Lincoln, McIntosh, Meriwether, Murray, Oconee, Oglethorpe, Seminole, Spalding, Sumter, Thomas, Toombs, Upson, Walton, Wilkes, Worth)"
"Tridens ambiguus","pine barren fluffgrass","GA(Baker, Clinch, Dougherty, McIntosh, Seminole, Toombs)"
"Tridens flavus","purpletop tridens","GA(Bartow, Bibb, Catoosa, Cherokee, Clarke, Cobb, Dougherty, Elbert, Floyd, Habersham, Jackson, Jasper, Jones, McIntosh, Meriwether, Murray, Oconee, Oglethorpe, Seminole, Spalding, Sumter, Thomas, Upson, Walton, Wilkes, Worth)"
"Tridens strictus","longspike tridens","GA(Dougherty, Elbert, Fulton, Lincoln)"
"Trientalis","starflower","GA(Union)"
"Trientalis borealis","starflower","GA(Union)"
"Trientalis borealis ssp. borealis","starflower","GA(Union)"
"Trifolium","clover","GA(Baker, Baldwin, Bartow, Berrien, Bibb, Brooks, Bulloch, Burke, Butts, Chatham, Clarke, Clinch, Cobb, Colquitt, Columbia, Coweta, DeKalb, Dodge, Dougherty, Douglas, Echols, Elbert, Floyd, Fulton, Gilmer, Grady, Greene, Gwinnett, Hall, Hancock, Harris, Heard, Jones, Lamar, Lincoln, Lowndes, Madison, McIntosh, Monroe, Morgan, Oconee, Oglethorpe, Putnam, Richmond, Rockdale, Spalding, Taliaferro, Telfair, Thomas, Turner, Walker, Walton, Whitfield, Wilkes, Worth)"
"Trifolium arvense","rabbitfoot clover","GA(Baldwin, Bibb, Clarke, DeKalb, Elbert, Monroe, Morgan, Oglethorpe, Putnam, Spalding, Walton)"
"Trifolium campestre","field clover","GA(Baldwin, Bartow, Clarke, Colquitt, DeKalb, Dodge, Dougherty, Elbert, Fulton, Gilmer, Grady, Hall, Jones, Lowndes, Morgan, Oconee, Rockdale, Turner, Whitfield, Wilkes, Worth)"
"Trifolium carolinianum","Carolina clover","GA(Bulloch, Burke, Butts, Clarke, Clinch, Columbia, DeKalb, Douglas, Greene, Hancock, Heard, Lamar, McIntosh, Oglethorpe, Putnam, Richmond, Rockdale, Spalding, Walton)"
"Trifolium dubium","suckling clover","GA(Bartow, Bulloch, Chatham, Clarke, DeKalb, Elbert, Harris, Oconee, Spalding, Thomas)"
"Trifolium fragiferum","strawberry clover","GA(Lamar)"
"Trifolium hybridum","alsike clover","GA(Cobb, Elbert, Floyd, Gwinnett, Hall, Lowndes)"
"Trifolium incarnatum","crimson clover","GA(Bulloch, Clarke, Colquitt, Elbert, Floyd, Lowndes, Madison, Morgan)"
"Trifolium pratense","red clover","GA(Bartow, Clarke, DeKalb, Dougherty, Elbert, Floyd, Harris, Morgan, Taliaferro, Walker)"
"Trifolium reflexum","buffalo clover","GA(Baker, Bartow, Clarke, Columbia, Coweta, Floyd, Fulton, Hall, Harris, Lincoln, Oconee, Oglethorpe, Telfair, Walker)"
"Trifolium repens","white clover","GA(Bartow, Bulloch, Chatham, Clarke, Echols, Elbert, Lowndes, McIntosh, Morgan, Turner, Wilkes)"
"Trifolium resupinatum","reversed clover","GA(Elbert, Fulton)"
"Trifolium striatum","knotted clover","GA(Butts)"
"Trifolium subterraneum","subterranean clover","GA(Spalding)"
"Trifolium vesiculosum","arrowleaf clover","GA(Berrien, Brooks, Clarke, Grady, Lowndes, Morgan, Thomas)"
"Triglochin","arrowgrass","GA(Camden, Glynn, McIntosh)"
"Triglochin striata","three-rib arrowgrass","GA(Camden, Glynn, McIntosh)"
"Trillium","trillium","GA(Baldwin, Bartow, Burke, Calhoun, Carroll, Catoosa, Cherokee, Clarke, Clay, Clayton, Cobb, Columbia, Coweta, Crisp, Dade, Dawson, DeKalb, Decatur, Dougherty, Early, Effingham, Elbert, Fannin, Floyd, Forsyth, Fulton, Gilmer, Gordon, Grady, Greene, Habersham, Hall, Hancock, Haralson, Harris, Hart, Henry, Houston, Jackson, Jenkins, Johnson, Laurens, Lee, Lowndes, Lumpkin, Madison, Morgan, Murray, Muscogee, Oconee, Oglethorpe, Pickens, Polk, Putnam, Quitman, Rabun, Randolph, Richmond, Screven, Stephens, Sumter, Talbot, Taylor, Towns, Troup, Union, Upson, Walker, Washington, Webster, White, Whitfield, Wilkes, Wilkinson, Worth)"
"Trillium catesbaei","bashful wakerobin","GA(Bartow, Burke, Carroll, Cherokee, Clarke, Clay, Clayton, Cobb, Coweta, Dawson, DeKalb, Early, Elbert, Floyd, Fulton, Gilmer, Hall, Hancock, Harris, Hart, Henry, Houston, Jackson, Lumpkin, Madison, Morgan, Murray, Muscogee, Oconee, Oglethorpe, Polk, Putnam, Rabun, Stephens, Sumter, Talbot, Towns, Union, Upson, Webster, White, Wilkes)"
"Trillium cuneatum","little sweet Betsy","GA(Baldwin, Bartow, Catoosa, Crisp, Dade, Elbert, Floyd, Forsyth, Gilmer, Gordon, Greene, Habersham, Hall, Hancock, Harris, Jackson, Lumpkin, Murray, Oglethorpe, Pickens, Putnam, Rabun, Stephens, Taylor, Towns, Troup, Union, Walker, Washington, White, Whitfield)"
"Trillium decipiens","Chattahoochee River wakerobin","GA(Decatur, Early, Muscogee, Quitman, Washington)"
"Trillium decumbens","trailing wakerobin","GA(Bartow, Dade, Murray, Pickens)"
"Trillium discolor","mottled wakerobin","GA(Elbert, Hart, Oglethorpe, Stephens)"
"Trillium erectum","red trillium","GA(Murray, Rabun, Towns, Union)"
"Trillium flexipes","nodding wakerobin","GA(Walker)"
"Trillium grandiflorum","white trillium","GA(Fannin, Gilmer, Murray, Towns, Union)"
"Trillium lancifolium","lanceleaf wakerobin","GA(Bartow, Decatur, Floyd, Walker)"
"Trillium luteum","yellow wakerobin","GA(Catoosa, DeKalb, Hancock, Morgan, Murray, Stephens, Whitfield)"
